#photoelectric effect
#wavelength [nm]	voltage [volt], runs 1-3
360	1.554	1.551	1.526
400	1.367	1.323	1.327
440	1.194	1.146	1.158
490	0.893	0.836	0.862
540	0.778	0.727	0.723
590	0.560	0.546	0.560
