#exercise 1.1
#blue LED
#wavelength [nm]
465	0	0
#order	rho1[mm]	rho2[mm]
1	12.9	12.2
2	12	13.1
3	13.2	11.9
4	11.8	13.3
5	13.5	11.75
6	11.6	13.5
9	13.7	11.4
11	11.3	13.85
13	13.95	11.1
15	11	14.05
17	14.1	10.9
