762	-4.409	34.01
765	-4.402	34.28
768	-4.395	34.57
771	-4.387	34.85
774	-4.380	35.10
777	-4.373	35.34
780	-4.366	35.55
783	-4.359	35.74
786	-4.352	35.93
789	-4.344	36.11
792	-4.337	36.28
795	-4.330	36.42
798	-4.323	36.56
801	-4.315	36.69
804	-4.308	36.80
807	-4.302	36.90
810	-4.295	37.00
813	-4.288	37.08
816	-4.281	37.16
819	-4.273	37.24
822	-4.265	37.31
825	-4.258	37.37
828	-4.251	37.42
831	-4.244	37.48
834	-4.236	37.53
837	-4.229	37.58
840	-4.222	37.62
843	-4.215	37.66
846	-4.208	37.69
849	-4.201	37.71
852	-4.194	37.75
855	-4.186	37.77
858	-4.180	37.79
861	-4.172	37.82
864	-4.165	37.83
867	-4.158	37.85
870	-4.151	37.85
873	-4.144	37.87
876	-4.137	37.88
879	-4.130	37.89
882	-4.123	37.91
885	-4.116	37.92
888	-4.109	37.93
891	-4.101	37.93
894	-4.094	37.93
897	-4.087	37.93
900	-4.080	37.93
903	-4.073	35.63
906	-4.066	30.57
909	-4.059	27.68
912	-4.052	25.68
915	-4.044	24.69
918	-4.037	23.89
921	-4.030	23.38
924	-4.023	22.95
927	-4.016	22.56
930	-4.009	22.40
933	-4.001	22.34
936	-3.994	22.26
939	-3.987	22.26
942	-3.980	22.38
945	-3.973	22.41
948	-3.966	22.68
951	-3.959	23.14
954	-3.952	23.33
957	-3.945	23.47
960	-3.937	23.47
963	-3.930	23.50
966	-3.923	23.50
969	-3.916	23.62
972	-3.909	23.80
975	-3.902	23.94
978	-3.895	23.94
981	-3.888	24.01
984	-3.881	24.18
987	-3.874	24.40
990	-3.867	24.75
993	-3.860	24.94
996	-3.853	24.85
999	-3.845	24.80
1002	-3.838	24.79
1005	-3.831	26.57
1008	-3.824	28.07
1011	-3.817	28.11
1014	-3.810	28.11
1017	-3.803	28.12
1020	-3.796	28.11
1023	-3.789	28.11
1026	-3.782	28.12
1029	-3.775	28.13
1032	-3.768	28.14
1035	-3.761	28.14
1038	-3.754	28.14
1041	-3.747	28.13
1044	-3.740	28.14
1047	-3.734	28.13
1050	-3.726	28.14
1053	-3.719	28.14
1056	-3.712	28.13
1059	-3.705	28.13
1062	-3.698	28.13
1065	-3.692	28.13
1068	-3.684	28.13
1071	-3.677	28.13
1074	-3.670	28.13
1077	-3.663	28.14
1080	-3.656	28.14
1083	-3.649	28.14
1086	-3.642	28.14
1089	-3.635	28.07
1092	-3.628	25.76
1095	-3.621	24.53
1098	-3.614	23.92
1101	-3.607	23.55
1104	-3.600	23.31
1107	-3.592	23.24
1110	-3.585	23.07
1113	-3.579	22.88
1116	-3.572	22.90
1119	-3.564	22.85
1122	-3.558	22.76
1125	-3.550	22.68
1128	-3.543	24.92
1131	-3.537	30.42
1134	-3.529	30.58
1137	-3.523	30.88
1140	-3.516	31.48
1143	-3.509	31.71
1146	-3.502	31.70
1149	-3.495	31.91
1152	-3.488	32.44
1155	-3.480	33.01
1158	-3.474	33.56
1161	-3.467	34.09
1164	-3.460	34.65
1167	-3.453	35.15
1170	-3.446	35.63
1173	-3.439	36.06
1176	-3.432	36.46
1179	-3.426	36.82
1182	-3.418	37.17
1185	-3.412	37.49
1188	-3.405	37.78
1191	-3.398	38.04
1194	-3.390	38.28
1197	-3.384	38.48
1200	-3.377	38.68
1203	-3.370	38.89
1206	-3.363	39.05
1209	-3.356	39.21
1212	-3.350	39.35
1215	-3.342	39.49
1218	-3.336	39.61
1221	-3.329	39.73
1224	-3.322	39.84
1227	-3.314	39.95
1230	-3.308	40.03
1233	-3.301	40.11
1236	-3.294	40.18
1239	-3.287	40.27
1242	-3.280	40.33
1245	-3.274	40.39
1248	-3.267	40.44
1251	-3.260	40.49
1254	-3.253	40.55
1257	-3.246	40.59
1260	-3.239	40.63
1263	-3.232	40.66
1266	-3.225	40.71
1269	-3.218	40.74
1272	-3.211	40.77
1275	-3.204	40.80
1278	-3.197	40.83
1281	-3.190	40.86
1284	-3.183	40.89
1287	-3.176	40.91
1290	-3.169	40.94
1293	-3.162	40.95
1296	-3.156	40.96
1299	-3.149	40.98
1302	-3.142	41.00
1305	-3.134	41.03
1308	-3.127	41.04
1311	-3.120	41.05
1314	-3.113	41.07
1317	-3.107	41.08
1320	-3.100	41.08
1323	-3.093	41.09
1326	-3.086	41.09
1329	-3.080	41.10
1332	-3.073	38.32
1335	-3.066	35.50
1338	-3.059	33.46
1341	-3.052	29.49
1344	-3.045	26.83
1347	-3.038	25.22
1350	-3.031	24.25
1353	-3.025	23.63
1356	-3.018	23.30
1359	-3.011	23.03
1362	-3.004	22.76
1365	-2.998	22.60
1368	-2.991	22.52
1371	-2.984	22.46
1374	-2.977	22.44
1377	-2.970	22.40
1380	-2.963	22.28
1383	-2.956	22.73
1386	-2.949	27.65
1389	-2.942	28.39
1392	-2.935	28.40
1395	-2.928	28.42
1398	-2.921	28.44
1401	-2.914	28.45
1404	-2.908	28.45
1407	-2.901	28.45
1410	-2.894	28.46
1413	-2.887	28.47
1416	-2.880	28.46
1419	-2.874	28.46
1422	-2.867	28.46
1425	-2.860	28.46
1428	-2.853	28.47
1431	-2.846	28.46
1434	-2.839	28.46
1437	-2.833	28.46
1440	-2.826	28.45
1443	-2.819	28.45
1446	-2.812	28.46
1449	-2.805	28.45
1452	-2.798	28.63
1455	-2.791	26.55
1458	-2.784	24.38
1461	-2.777	23.14
1464	-2.770	22.39
1467	-2.763	21.92
1470	-2.756	21.72
1473	-2.749	21.60
1476	-2.742	21.60
1479	-2.735	21.66
1482	-2.728	21.64
1485	-2.721	21.49
1488	-2.715	21.42
1491	-2.707	21.43
1494	-2.700	21.52
1497	-2.694	23.81
1500	-2.687	28.84
1503	-2.680	28.94
1506	-2.673	29.16
1509	-2.666	29.34
1512	-2.659	29.53
1515	-2.652	29.72
1518	-2.645	29.88
1521	-2.639	30.00
1524	-2.631	30.14
1527	-2.624	30.28
1530	-2.618	30.41
1533	-2.611	30.52
1536	-2.604	30.62
1539	-2.597	30.71
1542	-2.590	30.80
1545	-2.583	30.89
1548	-2.577	30.95
1551	-2.570	31.03
1554	-2.562	31.10
1557	-2.556	31.16
1560	-2.549	31.20
1563	-2.542	31.25
1566	-2.535	31.29
1569	-2.528	31.34
1572	-2.521	31.38
1575	-2.515	31.41
1578	-2.508	31.45
1581	-2.501	31.49
1584	-2.494	31.52
1587	-2.487	31.56
1590	-2.480	31.58
1593	-2.473	31.60
1596	-2.467	31.62
1599	-2.460	31.64
1602	-2.453	31.67
1605	-2.447	31.68
1608	-2.440	31.71
1611	-2.433	31.74
1614	-2.427	31.74
1617	-2.419	31.77
1620	-2.412	31.80
1623	-2.406	31.82
1626	-2.399	31.83
1629	-2.392	31.85
1632	-2.385	31.86
1635	-2.379	31.87
1638	-2.372	31.89
1641	-2.365	31.90
1644	-2.358	31.91
1647	-2.351	31.92
1650	-2.345	31.94
1653	-2.337	30.50
1656	-2.331	26.79
1659	-2.324	24.68
1662	-2.317	23.34
1665	-2.310	22.55
1668	-2.303	22.06
1671	-2.296	21.68
1674	-2.290	21.41
1677	-2.283	21.29
1680	-2.276	21.31
1683	-2.269	21.31
1686	-2.262	21.31
1689	-2.256	21.25
1692	-2.249	21.31
1695	-2.242	21.36
1698	-2.235	21.37
1701	-2.228	21.42
1704	-2.221	21.48
1707	-2.215	21.48
1710	-2.208	21.42
1713	-2.201	21.28
1716	-2.194	21.29
1719	-2.187	21.25
1722	-2.181	21.20
1725	-2.174	21.29
1728	-2.166	21.38
1731	-2.160	21.40
1734	-2.153	21.53
1737	-2.146	21.73
1740	-2.139	21.97
1743	-2.132	22.19
1746	-2.126	22.24
1749	-2.118	22.41
1752	-2.111	22.54
1755	-2.105	24.35
1758	-2.098	27.50
1761	-2.091	27.60
1764	-2.084	27.62
1767	-2.077	27.64
1770	-2.070	27.64
1773	-2.063	27.63
1776	-2.056	26.51
1779	-2.049	24.57
1782	-2.042	26.51
1785	-2.036	27.53
1788	-2.029	26.41
1791	-2.022	25.31
1794	-2.015	27.46
1797	-2.009	27.50
1800	-2.002	27.52
1803	-1.995	27.53
1806	-1.988	27.52
1809	-1.981	27.52
1812	-1.975	27.52
1815	-1.968	27.52
1818	-1.961	27.52
1821	-1.955	27.51
1824	-1.948	27.52
1827	-1.941	27.52
1830	-1.934	27.00
1833	-1.927	25.19
1836	-1.921	23.88
1839	-1.914	23.00
1842	-1.907	22.53
1845	-1.900	22.32
1848	-1.894	22.19
1851	-1.887	22.06
1854	-1.880	21.97
1857	-1.873	21.85
1860	-1.867	21.81
1863	-1.860	21.81
1866	-1.854	21.96
1869	-1.847	22.23
1872	-1.840	22.33
1875	-1.834	22.39
1878	-1.827	22.47
1881	-1.820	22.50
1884	-1.814	22.41
1887	-1.807	22.38
1890	-1.800	22.28
1893	-1.793	22.19
1896	-1.787	22.31
1899	-1.780	26.00
1902	-1.773	49.13
1905	-1.766	45.81
1908	-1.759	43.04
1911	-1.752	41.15
1914	-1.746	39.77
1917	-1.739	38.74
1920	-1.733	37.93
1923	-1.726	37.30
1926	-1.719	36.78
1929	-1.712	36.37
1932	-1.706	35.76
1935	-1.699	35.50
1938	-1.693	35.35
1941	-1.686	35.22
1944	-1.679	35.11
1947	-1.672	35.02
1950	-1.666	34.92
1953	-1.659	34.84
1956	-1.653	34.78
1959	-1.646	34.72
1962	-1.639	34.66
1965	-1.632	34.62
1968	-1.626	34.58
1971	-1.619	34.54
1974	-1.613	34.50
1977	-1.606	34.47
1980	-1.599	34.45
1983	-1.593	34.42
1986	-1.586	34.40
1989	-1.579	34.38
1992	-1.572	34.35
1995	-1.565	34.33
1998	-1.559	34.31
2001	-1.553	34.29
2004	-1.546	34.28
2007	-1.539	34.26
2010	-1.533	34.24
2013	-1.526	34.23
2016	-1.519	34.22
2019	-1.513	34.20
2022	-1.506	34.19
2025	-1.499	34.17
2028	-1.492	34.17
2031	-1.486	34.15
2034	-1.479	34.15
2037	-1.473	34.13
2040	-1.466	34.12
2043	-1.460	34.11
2046	-1.453	34.11
2049	-1.446	34.10
2052	-1.440	34.09
2055	-1.433	34.08
2058	-1.426	34.07
2061	-1.420	34.06
2064	-1.413	34.06
2067	-1.407	34.04
2070	-1.400	34.04
2073	-1.394	34.03
2076	-1.387	31.73
2079	-1.381	27.69
2082	-1.374	25.49
2085	-1.368	24.40
2088	-1.361	23.78
2091	-1.354	23.25
2094	-1.348	22.75
2097	-1.341	22.41
2100	-1.335	22.19
2103	-1.328	22.04
2106	-1.322	21.86
2109	-1.315	21.54
2112	-1.308	21.34
2115	-1.301	21.28
2118	-1.295	21.34
2121	-1.288	21.44
2124	-1.282	21.53
2127	-1.276	23.75
2130	-1.269	26.94
2133	-1.263	24.94
2136	-1.256	23.86
2139	-1.249	25.19
2142	-1.243	27.58
2145	-1.236	27.63
2148	-1.230	27.63
2151	-1.223	27.63
2154	-1.216	27.64
2157	-1.210	27.64
2160	-1.203	27.63
2163	-1.197	27.65
2166	-1.190	27.64
2169	-1.184	27.64
2172	-1.177	27.63
2175	-1.171	27.63
2178	-1.165	27.63
2181	-1.158	27.63
2184	-1.152	27.63
2187	-1.145	27.64
2190	-1.138	27.63
2193	-1.132	27.63
2196	-1.126	27.63
2199	-1.119	26.21
2202	-1.112	24.27
2205	-1.106	23.27
2208	-1.100	22.78
2211	-1.093	22.46
2214	-1.087	22.21
2217	-1.080	21.94
2220	-1.074	21.77
2223	-1.067	21.65
2226	-1.061	21.59
2229	-1.054	21.58
2232	-1.047	21.37
2235	-1.041	21.25
2238	-1.035	21.25
2241	-1.028	21.27
2244	-1.022	21.30
2247	-1.015	21.37
2250	-1.009	26.64
2253	-1.002	31.31
2256	-0.996	31.69
2259	-0.990	34.25
2262	-0.983	35.62
2265	-0.977	36.86
2268	-0.970	37.98
2271	-0.964	39.03
2274	-0.957	40.04
2277	-0.951	40.95
2280	-0.944	41.77
2283	-0.938	42.51
2286	-0.931	43.18
2289	-0.924	43.76
2292	-0.918	44.25
2295	-0.911	44.69
2298	-0.905	45.08
2301	-0.898	45.42
2304	-0.892	45.72
2307	-0.885	45.99
2310	-0.878	46.21
2313	-0.872	46.41
2316	-0.866	46.57
2319	-0.859	46.72
2322	-0.852	46.84
2325	-0.846	46.95
2328	-0.840	47.03
2331	-0.833	47.11
2334	-0.827	47.19
2337	-0.820	47.25
