#zirkular
#Winkel[]	Spannung[V]
0	0.1221
10	0.1207
20	0.1205
30	0.1214
40	0.1233
50	0.1265
60	0.1300
70	0.1333
80	0.1364
90	0.1388
100	0.1398
110	0.1395
120	0.1383
130	0.1359
140	0.1333
150	0.1285
160	0.1240
170	0.1214
180	0.1194
190	0.1180
200	0.1178
210	0.1188
220	0.1211
230	0.1240
240	0.1275
250	0.1308
260	0.1340
270	0.1363
280	0.1375
290	0.1384
300	0.1375
310	0.1362
320	0.1333
330	0.1303
340	0.1273
350	0.1241
360	0.1222
