#linear, ohne BPF
#Winkel[]	Spannung[V]
0	4.0313
10	4.0306
20	4.0291
30	4.0266
40	4.0228
50	4.0166
60	4.0063
70	3.9828
80	3.4342
90	3.3931
100	3.9817
110	4.0057
120	4.0162
130	4.0229
140	4.0268
150	4.0294
160	4.0309
170	4.0317
180	4.0317
190	4.0308
200	4.0291
210	4.0264
220	4.0224
230	4.0163
240	4.0054
250	3.9794
260	3.3434
270	3.3514
280	3.9794
290	4.0055
300	4.0162
310	4.0224
320	4.0267
330	4.0294
340	4.0309
350	4.0317
360	4.0317
