#linear, ohne BPF
#Winkel[°]	Spannung[V]
0	0.3288
10	0.3117
20	0.2746
30	0.2263
40	0.1668
50	0.1103
60	0.0602
70	0.0226
80	0.0034
90	0.0025
100	0.0210
110	0.0582
120	0.1074
130	0.1674
140	0.2225
150	0.2780
160	0.3119
170	0.3308
180	0.3308
190	0.3108
200	0.2717
210	0.2227
220	0.1648
230	0.1091
240	0.0593
250	0.0215
260	0.0031
270	0.0024
280	0.0203
290	0.0572
300	0.1098
310	0.1630
320	0.2187
330	0.2691
340	0.3093
350	0.3288
360	0.3288
