#Albert, single slit, min
#d[m], d_max1[mm], d_max2[mm]...
1.65	11	21	32	42	52	64	74	84
1.85	13	25	36	48	60	72	85	95
2.05	14	27	40	53	65	78	92	105
2.25	16	30	43	59	72	86	102	116
2.45	17	32	48	62	80	95	111	128
