#Werner, fence 100/cm
#d[m], d_max1[mm], d_max2[mm]...
2.45	30	59	89	119	147
2.25	26	54	82	109	135
2.05	26	50	74	98	123
1.85	22	45	66	89	111
1.65	20	39	59	80	100
